district,year,month,month_name,total_radiation_MJ_m2,radiation_above_15MJ_m2,percentage_above_15MJ,days_in_month
Hambantota,2023,12,December,497.02,400.11,80.5,31
Hambantota,2024,1,January,582.33,539.41,92.63,31
Hambantota,2024,2,February,646.94,646.94,100.0,29
Hambantota,2024,3,March,719.1,719.1,100.0,31
Hambantota,2024,4,April,663.71,652.22,98.27,30
Hambantota,2024,5,May,586.75,526.43,89.72,31
Hambantota,2024,6,June,148.99,137.33,92.17,8
Jaffna,2010,1,January,592.1,584.92,98.79,31
Jaffna,2010,2,February,597.78,587.52,98.28,28
Jaffna,2010,3,March,747.78,747.78,100.0,31
Jaffna,2010,4,April,691.92,691.92,100.0,30
Jaffna,2010,5,May,667.31,647.58,97.04,31
Jaffna,2010,6,June,613.4,585.72,95.49,30
Jaffna,2010,7,July,599.26,530.36,88.5,31
Jaffna,2010,8,August,580.21,485.21,83.63,31
Jaffna,2010,9,September,586.03,576.85,98.43,30
Jaffna,2010,10,October,600.32,554.45,92.36,31
Jaffna,2010,11,November,446.2,304.91,68.33,30
Jaffna,2010,12,December,375.44,222.26,59.2,31
Jaffna,2011,1,January,439.87,330.36,75.1,31
Jaffna,2011,2,February,496.49,446.28,89.89,28
Jaffna,2011,3,March,731.79,731.79,100.0,31
Jaffna,2011,4,April,638.3,620.12,97.15,30
Jaffna,2011,5,May,768.41,768.41,100.0,31
Jaffna,2011,6,June,645.53,645.53,100.0,30
Jaffna,2011,7,July,613.75,587.43,95.71,31
Jaffna,2011,8,August,634.47,634.47,100.0,31
Jaffna,2011,9,September,633.28,592.37,93.54,30
Jaffna,2011,10,October,550.52,463.17,84.13,31
Jaffna,2011,11,November,465.04,341.64,73.46,30
Jaffna,2011,12,December,470.94,338.98,71.98,31
Jaffna,2012,1,January,595.02,565.54,95.05,31
Jaffna,2012,2,February,599.2,585.1,97.65,29
Jaffna,2012,3,March,738.61,725.62,98.24,31
Jaffna,2012,4,April,656.12,627.76,95.68,30
Jaffna,2012,5,May,754.25,754.25,100.0,31
Jaffna,2012,6,June,676.85,663.43,98.02,30
Jaffna,2012,7,July,670.51,643.54,95.98,31
Jaffna,2012,8,August,660.57,660.57,100.0,31
Jaffna,2012,9,September,638.93,613.93,96.09,30
Jaffna,2012,10,October,525.9,426.08,81.02,31
Jaffna,2012,11,November,536.11,466.13,86.95,30
Jaffna,2012,12,December,470.1,292.35,62.19,31
Jaffna,2013,1,January,525.19,440.06,83.79,31
Jaffna,2013,2,February,556.57,506.93,91.08,28
Jaffna,2013,3,March,695.3,686.02,98.67,31
Jaffna,2013,4,April,711.96,711.96,100.0,30
Jaffna,2013,5,May,714.76,714.76,100.0,31
Jaffna,2013,6,June,609.58,598.78,98.23,30
Jaffna,2013,7,July,596.4,527.33,88.42,31
Jaffna,2013,8,August,635.28,612.99,96.49,31
Jaffna,2013,9,September,611.07,548.68,89.79,30
Jaffna,2013,10,October,628.2,584.76,93.09,31
Jaffna,2013,11,November,503.8,441.17,87.57,30
Jaffna,2013,12,December,463.91,332.97,71.77,31
Jaffna,2014,1,January,478.75,404.53,84.5,31
Jaffna,2014,2,February,608.58,608.58,100.0,28
Jaffna,2014,3,March,734.27,734.27,100.0,31
Jaffna,2014,4,April,705.58,705.58,100.0,30
Jaffna,2014,5,May,676.75,670.04,99.01,31
Jaffna,2014,6,June,696.9,696.9,100.0,30
Jaffna,2014,7,July,639.36,607.74,95.05,31
Jaffna,2014,8,August,634.2,619.58,97.69,31
Jaffna,2014,9,September,643.08,630.21,98.0,30
Jaffna,2014,10,October,555.17,481.64,86.76,31
Jaffna,2014,11,November,395.82,225.89,57.07,30
Jaffna,2014,12,December,369.87,141.71,38.31,31
Jaffna,2015,1,January,597.89,597.89,100.0,31
Jaffna,2015,2,February,563.05,522.49,92.8,28
Jaffna,2015,3,March,718.33,718.33,100.0,31
Jaffna,2015,4,April,639.78,620.58,97.0,30
Jaffna,2015,5,May,625.44,553.37,88.48,31
Jaffna,2015,6,June,624.35,599.79,96.07,30
Jaffna,2015,7,July,653.76,628.42,96.12,31
Jaffna,2015,8,August,686.77,686.77,100.0,31
Jaffna,2015,9,September,628.86,587.94,93.49,30
