district,year,month,total_radiation,radiation_above_threshold,percentage_above_threshold,record_count
Badulla,2019,6,619.88,607.81,98.05284893850423,30
Badulla,2019,7,666.11,655.2,98.36213238053776,31
Badulla,2019,8,541.6,434.77,80.27511078286558,31
Badulla,2019,9,566.27,519.3499999999999,91.71419993995795,30
Badulla,2019,10,441.5499999999999,269.26,60.980636394519316,31
Badulla,2019,11,516.76,419.69,81.21565136620481,30
Badulla,2019,12,434.34000000000015,219.29999999999995,50.490399226412464,31
Badulla,2020,1,601.1400000000001,576.22,95.85454303490035,31
Badulla,2020,2,581.9999999999998,540.29,92.83333333333337,29
Badulla,2020,3,747.2900000000001,733.0,98.08775709563889,31
Badulla,2020,4,658.2599999999999,658.2599999999999,100.0,30
Badulla,2020,5,572.71,530.88,92.69612893087252,31
Badulla,2020,6,609.3199999999999,557.48,91.49215518939147,30
Badulla,2020,7,561.07,512.8599999999999,91.40748926158943,31
Badulla,2020,8,673.83,648.33,96.21566270424292,31
Badulla,2020,9,500.43,387.29,77.39144335871151,30
Badulla,2020,10,678.4200000000001,663.6400000000001,97.82140856696442,31
Badulla,2020,11,473.96,337.24,71.15368385517765,30
Badulla,2020,12,459.94,333.34,72.4746706092099,31
Badulla,2021,1,428.85,207.22000000000003,48.31992538183514,31
Badulla,2021,2,556.5300000000001,503.2900000000001,90.43357950155428,28
Badulla,2021,3,595.92,527.56,88.52866156531077,31
Badulla,2021,4,643.45,622.54,96.75033025099074,30
Badulla,2021,5,553.0899999999999,457.76,82.7641071073424,31
Badulla,2021,6,644.0600000000001,606.14,94.11234978107629,30
Badulla,2021,7,615.6499999999999,590.8,95.96361569073338,31
Badulla,2021,8,586.4800000000001,531.5700000000002,90.63736188787342,31
Badulla,2021,9,594.5400000000001,547.75,92.13005012278398,30
Badulla,2021,10,557.61,460.61000000000007,82.60432919065298,31
Badulla,2021,11,433.02000000000004,223.4,51.591150524225206,30
Badulla,2021,12,545.6600000000001,480.23,88.00901660374592,31
Badulla,2022,1,560.71,453.0200000000001,80.79399332988534,31
Badulla,2022,2,574.73,515.8199999999999,89.74996955091954,28
Badulla,2022,3,643.99,622.89,96.72355160794423,31
Badulla,2022,4,554.45,468.44,84.48732978627469,30
Badulla,2022,5,638.07,583.58,91.4601846192424,31
Badulla,2022,6,585.24,560.2399999999999,95.72824824003825,30
Badulla,2022,7,565.9300000000002,508.18,89.79555775449258,31
Badulla,2022,8,608.4899999999999,535.1999999999999,87.95543065621457,31
Badulla,2022,9,659.77,636.75,96.51090531548874,30
Badulla,2022,10,538.9499999999998,453.64999999999986,84.17292884312089,31
Badulla,2022,11,499.9500000000001,370.16,74.03940394039404,30
Badulla,2022,12,454.03999999999996,291.44000000000005,64.18817725310547,31
Badulla,2023,1,517.78,419.74999999999994,81.06724863841785,31
Badulla,2023,2,523.42,447.9,85.57181613236024,28
Badulla,2023,3,620.4399999999998,526.0799999999999,84.7914383340855,31
Badulla,2023,4,659.0200000000002,647.4100000000002,98.23829322327092,30
Badulla,2023,5,622.75,582.1300000000001,93.47731834604578,31
Badulla,2023,6,634.5100000000001,634.5100000000001,100.0,30
Badulla,2023,7,621.37,594.12,95.61452918550944,31
Badulla,2023,8,698.04,698.04,100.0,31
Badulla,2023,9,540.13,510.0300000000001,94.42726750967361,30
Badulla,2023,10,492.88,332.3,67.42006167829898,31
Badulla,2023,11,438.7399999999999,207.39000000000001,47.26945343483614,30
Badulla,2023,12,418.83,212.82999999999998,50.815366616526994,31
Badulla,2024,1,508.28,401.67,79.02534036357913,31
Badulla,2024,2,603.9599999999999,575.2199999999999,95.24140671567653,29
Badulla,2024,3,738.0399999999998,738.0399999999998,100.0,31
Badulla,2024,4,693.94,680.02,97.9940628872813,30
Badulla,2024,5,589.9599999999999,527.63,89.43487694080956,31
Badulla,2024,6,156.29,142.6,91.24064239554674,8
Bandarawela,2010,1,536.9799999999999,436.35999999999984,81.26187195053818,31
Bandarawela,2010,2,568.47,513.0,90.2422291413795,28
Bandarawela,2010,3,697.79,697.79,100.0,31
Bandarawela,2010,4,597.3100000000002,574.3100000000002,96.14940315748942,30
Bandarawela,2010,5,566.35,519.5500000000001,91.7365586651364,31
Bandarawela,2010,6,552.06,513.42,93.000760786871,30
Bandarawela,2010,7,577.07,525.85,91.12412705564316,31
Bandarawela,2010,8,535.91,448.24999999999994,83.64277583922673,31
Bandarawela,2010,9,527.24,413.58,78.44245504893406,30
Bandarawela,2010,10,578.9299999999998,487.82000000000005,84.26234605219977,31
Bandarawela,2010,11,434.89000000000016,265.0,60.93494906758029,30
Bandarawela,2010,12,369.56000000000006,228.86,61.9276978027925,31
Bandarawela,2011,1,380.5899999999999,193.57,50.86050605638614,31
Bandarawela,2011,2,423.92999999999995,327.51,77.25567900360909,28
Bandarawela,2011,3,638.01,599.62,93.9828529333396,31
Bandarawela,2011,4,587.7700000000001,539.48,91.78420130323084,30
Bandarawela,2011,5,649.9499999999999,649.9499999999999,100.0,31
Bandarawela,2011,6,621.3400000000001,606.6500000000001,97.63575498116973,30
Bandarawela,2011,7,594.41,594.41,100.0,31
Bandarawela,2011,8,587.23,560.87,95.51112851863836,31
Bandarawela,2011,9,614.4399999999999,602.01,97.97701972527831,30
Bandarawela,2011,10,544.82,448.79,82.37399508094416,31
Bandarawela,2011,11,454.55999999999995,287.95,63.34697289686731,30
Bandarawela,2011,12,446.0,310.18000000000006,69.54708520179373,31
Bandarawela,2012,1,561.8799999999999,489.71,87.15562041717094,31
Bandarawela,2012,2,543.74,451.84999999999997,83.1003788575422,29
Bandarawela,2012,3,712.3700000000001,712.3700000000001,100.0,31
Bandarawela,2012,4,577.2000000000002,556.3800000000001,96.39293139293137,30
Bandarawela,2012,5,698.44,698.44,100.0,31
Bandarawela,2012,6,584.3,584.3,100.0,30
Bandarawela,2012,7,625.23,610.7500000000001,97.68405226876511,31
Bandarawela,2012,8,612.96,598.54,97.64748107543721,31
Bandarawela,2012,9,596.7800000000001,582.4100000000001,97.59207748248936,30
Bandarawela,2012,10,511.9200000000001,396.3500000000001,77.42420690732928,31
Bandarawela,2012,11,449.05000000000007,345.3,76.89566863378242,30
Bandarawela,2012,12,420.19000000000005,241.94,57.578714391108775,31
Bandarawela,2013,1,473.31,338.68,71.55564006676386,31
Bandarawela,2013,2,511.84000000000003,456.9100000000001,89.26813066583308,28
Bandarawela,2013,3,608.9300000000001,591.05,97.06370190333863,31
Bandarawela,2013,4,647.69,647.69,100.0,30
Bandarawela,2013,5,585.4599999999999,507.74,86.72496840091554,31
Bandarawela,2013,6,504.94,419.31,83.04154949102865,30
Bandarawela,2013,7,588.8999999999999,560.3399999999999,95.15028018339278,31
Bandarawela,2013,8,636.1700000000001,609.6900000000002,95.837590581134,31
Bandarawela,2013,9,571.8399999999998,516.3,90.2874930050364,30
Bandarawela,2013,10,591.8900000000001,554.9999999999999,93.7674230008954,31
